"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","year","variable","NA","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.9","NA.10","NA.11","NA.12","NA.13","NA.14","hLimit","lLimit"
"44",4,815183,11.3786474938756,33.3518117631269,0,4.49999309971528,0,-195,1439,1634,14.6720172191169,494.545223641592,0.0369395732487019,"2010","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4510490574431,11.3062459303081
"48",4,909744,11.2907521236743,36.2879266734831,0,4.52931041115919,0,-165,1439,1604,18.1448119098838,609.362459202428,0.0380454351101253,"2011","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3653211764902,11.2161830708585
"52",4,940405,9.37392825431596,30.8123903200407,0,3.37223540358225,0,-93,1439,1532,18.1659078181566,681.703291359213,0.031773709892875,"2012","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.436204725706,9.31165178292593
"56",4,875835,7.75969217946303,30.8616653834411,0,1.82797012569416,0,-103,1439,1542,20.3053686552307,785.404942735744,0.0329767771898129,"2013","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.82432666275506,7.69505769617099
"60",4,728038,8.28900002472398,39.5867761066414,0,1.91604341794406,0,-89,1439,1528,23.1447722967588,756.225597533495,0.0463952063727399,"2014","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.37993462921455,8.19806542023341
"64",4,807687,6.71895548646939,34.3880759379729,0,1.12641317586756,0,-89,1439,1528,23.4948577845424,839.545429151899,0.0382636443023949,"2015","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.79395222930208,6.64395874363669
"68",4,686314,6.6211209446405,29.7289819134543,0,1.25608139119792,0,-82,1439,1521,19.5717658857582,693.185714449589,0.0358854674460897,"2016","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.69145646083484,6.55078542844616
"72",4,688693,7.74736203213914,31.1141342220529,0,2.12397745732411,0,-88,1435,1523,19.7623799012062,714.058350408107,0.0374925419856929,"2017","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8208474144311,7.67387664984718
"76",4,507641,11.1341144627798,36.5375170059783,0,5.34261892625945,2.9652,-71,1439,1510,15.4961812232268,461.888794156244,0.051281495876594,"2018","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2346261946979,11.0336027308617
"80",4,475898,11.8312747689631,36.1631027531244,0,5.96081897457448,5.9304,-83,1438,1521,13.1794463621285,363.819639900137,0.0524214157201383,"2019","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9340207437746,11.7285287941516
"84",4,1,-27,NA,-27,-27,0,-27,-27,0,NA,NA,NA,"2020","arrival_delay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
